id,order_id,name
1,1,Cricetidae
2,1,Gerbillinae #это подсмемейство, у тебя тут семейства. внутренности этой штуки можно запихать в 4,1
3,1,Gliridae
4,1,Muridae
5,1,Sciuridae
6,2,Ochotonidae
7,3,Soricidae # зачем это, есть 22,7
8,1,Sminthidae
9,1,rhizomiidae #внутренности перетащи в 11,1
10,4,  #это зачем
11,1,Spalacidae
12,1,allactactagidae #внутреннности перетащи в 13,1
13,1,Dipodidae
14,5,microchiroptera #запихни внутренности в CHIROPTERA
15,2,Leporidae
16,6,Mustelidae
17,6,Felidae
18,1,Gerbillidae #внутренности запихивай в 4,1
19,3,Talpidae # вместо incectivora запихать в новый порядок SORICOMORPHA
20,5,#зачем это
21,7,Erinaceidae #нужен еще один отряд для этоого семейства Erinaceomorpha, вместо Lipotyphla
22,7,Soricidae # нужен еще один отряд этоого семейства  Soricomorpha , вместо Lipotyphla
23,4,Mephitidae # перетащи в порядок Carnivora
24,6,Canidae
25,8,Didelphidae # нужен порядок Didelphimorpha 
26,9,Tupaiidae
27,5,Vespertilionidae
28,10,Issidae #должен быть в homoptera, мб у меня лагает
29,1, #зачем это
30,4,Сanidae #зачем это, у тебя уже есть 24,6
